datetime,storage,elevation,outflow,inflow,evap
2015-10-01,172.648,359.89,1.74743801358624,0.69818181700608,0.00198347107104
2015-10-02,171.787,359.65,1.66413222860256,0.8528925605472,0.049586776776
2015-10-03,171.428,359.55,1.7157024764496,1.4082644604384,0.05157024784704
2015-10-04,170.639,359.33,1.6958677657392,0.94809917195712,0.041652892491839996
2015-10-05,169.814,359.1,1.66413222860256,0.87074380018656,0.03173553713664
2015-10-06,169.03,358.88,1.6066115675424,0.86082644483136,0.03768595034976
2015-10-07,168.321,358.68,1.53917355112704,0.8687603291155199,0.03768595034976
2015-10-08,167.505,358.45,1.5371900800559999,0.76165289127936,0.0396694214208
2015-10-09,166.442,358.15,1.7057851210944,0.68826446165088,0.04561983463392
2015-10-10,165.139,357.78,2.4991735495103997,1.24165289047104,0.04561983463392
2015-10-11,164.649,357.64,1.30314049367328,0.85487603161824,0.041652892491839996
2015-10-12,163.668,357.36,1.6978512368102399,0.76165289127936,0.04561983463392
2015-10-13,162.827,357.12,1.46975206364064,0.68033057736672,0.05157024784704
2015-10-14,162.026,356.89,1.4558677661433599,0.69818181700608,0.04363636356288
2015-10-15,161.507,356.74,1.2317355351158399,0.75570247806624,0.04363636356288
2015-10-16,160.504,356.45,1.52132231148768,0.5553718998912,0.03768595034976
2015-10-17,160.227,356.37,1.34677685723616,1.08297520478784,0.013884297497279999
2015-10-18,159.743,356.23,1.24760330368416,0.78148760198976,0.01785123963936
2015-10-19,159.051,356.03,1.2495867747551999,0.58710743702784,0.0297520660656
2015-10-20,158.298,355.81,1.3328925597388799,0.62082644523552,0.041652892491839996
2015-10-21,157.239,355.5,1.5352066089849599,0.50975206525728,0.03371900820768
2015-10-22,156.145,355.18,1.55107437755328,0.49586776775999997,0.0396694214208
2015-10-23,154.355,354.65,2.26314049205664,0.50181818097312,0.027768594994559997
2015-10-24,154.12,354.58,1.21388429547648,1.00958677515936,0.0297520660656
2015-10-25,153.448,354.38,1.26545454332352,0.62677685844864,0.03371900820768
2015-10-26,152.609,354.13,1.27735536974976,0.46809917276544,0.0297520660656
2015-10-27,151.647,353.84,1.4340495843619199,0.5038016520441599,0.03173553713664
2015-10-28,151.089,353.67,1.03735537015392,0.49785123883104,0.01785123963936
2015-10-29,150.071,353.36,1.48760330328,0.50975206525728,0.0396694214208
2015-10-30,149.25,353.11,1.2694214854656,0.47999999919167996,0.03173553713664
2015-10-31,148.247,352.8,1.91008264141152,0.93619834553088,0.0297520660656
2015-11-01,146.772,352.34,1.99537189746624,0.51966942061248,0.0
2015-11-02,145.493,351.94,1.96760330247168,0.7041322302192,0.01586776856832
2015-11-03,145.055,351.8,1.2396694194,0.81520661019744,0.013884297497279999
2015-11-04,144.021,351.47,1.7573553689414398,0.75173553592416,0.027768594994559997
2015-11-05,143.426,351.28,1.26148760118144,0.68231404843776,0.01586776856832
2015-11-06,143.05,351.16,1.12661156835072,0.76561983342144,0.01586776856832
2015-11-07,143.363,351.26,0.8191735523395199,1.1504132212031999,0.01785123963936
2015-11-08,143.238,351.22,0.83107437876576,0.7061157012902399,0.0
2015-11-09,143.207,351.21,0.81520661019744,0.7834710730608,0.0
2015-11-10,142.8,351.08,1.1999999979792,0.80132231270016,0.00793388428416
2015-11-11,142.121,350.86,1.42214875793568,0.7576859491372799,0.013884297497279999
2015-11-12,141.449,350.64,1.29520660938912,0.6347107427328,0.01190082642624
2015-11-13,140.593,350.36,1.4776859479248,0.63272727166176,0.01190082642624
2015-11-14,140.41,350.3,1.3090909068864,1.13851239477696,0.01190082642624
2015-11-15,140.501,350.33,0.80132231270016,0.892561981968,0.0
2015-11-16,139.982,350.16,1.28528925403392,0.7973553705580799,0.03173553713664
2015-11-17,139.433,349.98,1.6165289228975999,1.07504132050368,0.00793388428416
2015-11-18,139.194,349.9,1.3090909068864,1.08297520478784,0.01190082642624
2015-11-19,139.074,349.86,1.2495867747551999,1.140495865848,0.0099173553552
2015-11-20,138.865,349.79,1.3785123943728,1.1801652872688,0.0099173553552
2015-11-21,138.895,349.8,1.44198346864608,1.48561983220896,0.013884297497279999
2015-11-22,138.775,349.76,1.20793388226336,1.10280991549824,0.013884297497279999
2015-11-23,138.386,349.63,1.289256196176,0.9104132216073599,0.0099173553552
2015-11-24,138.057,349.52,1.3130578490284799,0.98776859337792,0.00396694214208
2015-11-25,137.668,349.39,1.28528925403392,0.90446280839424,0.00793388428416
2015-11-26,137.369,349.29,1.26743801439456,0.97983470909376,0.01190082642624
2015-11-27,137.069,349.19,1.3507437993782399,1.0690909072905599,0.01785123963936
2015-11-28,137.309,349.27,1.24363636154208,1.4975206586352,0.013884297497279999
2015-11-29,137.069,349.19,1.12462809727968,0.89652892411008,0.01190082642624
2015-11-30,136.98,349.16,1.29322313831808,1.21388429547648,0.0099173553552
2015-12-01,136.472,348.99,1.52925619577184,1.02942148586976,0.00793388428416
2015-12-02,136.061,348.85,1.40429751829632,0.99966941980416,0.00595041321312
2015-12-03,135.679,348.72,1.289256196176,0.90644627946528,0.0
2015-12-04,135.561,348.68,1.32694214652576,1.21388429547648,0.00396694214208
2015-12-05,136.561,349.02,0.75173553592416,1.7593388400124799,0.00793388428416
2015-12-06,136.561,349.02,1.11272727085344,1.11272727085344,0.0
2015-12-07,136.149,348.88,1.4122314025804799,1.00363636194624,0.00396694214208
2015-12-08,136.237,348.91,1.03735537015392,1.1285950394217599,0.00396694214208
2015-12-09,136.178,348.89,1.12462809727968,1.07504132050368,0.0099173553552
2015-12-10,135.943,348.81,1.61256198075552,1.42016528686464,0.041652892491839996
2015-12-11,139.646,350.05,0.88661156875488,4.5937190005286395,0.00396694214208
2015-12-12,141.357,350.61,1.3309090886678399,3.05057850725952,0.00793388428416
2015-12-13,142.612,351.02,0.94611570088608,2.2016528888544,0.0
2015-12-14,144.522,351.63,1.2297520640447999,3.1517355318825597,0.01190082642624
2015-12-15,145.43,351.92,1.1900826426239999,2.11636363279968,0.01785123963936
2015-12-16,145.938,352.08,1.16429751870048,1.6799999971708799,0.00793388428416
2015-12-17,146.194,352.16,1.24760330368416,1.50942148506144,0.00595041321312
2015-12-18,147.093,352.44,0.9104132216073599,1.80892561678848,0.0
2015-12-19,148.376,352.84,1.23768594832896,2.58644627663616,0.06545454534431999
2015-12-20,148.922,353.01,1.17223140298464,1.7176859475206399,0.0
2015-12-21,151.778,353.88,0.96595041159648,3.83404958032032,0.01190082642624
2015-12-22,186.249,363.53,1.01553718837248,35.512066055900156,0.02578512392352
2015-12-23,206.553,368.52,1.2495867747551999,21.56628095541792,0.013884297497279999
2015-12-24,215.516,370.57,1.0214876015856,10.01057849553888,0.02578512392352
2015-12-25,220.333,371.64,1.40033057615424,6.2300826341366395,0.01190082642624
2015-12-26,224.274,372.5,0.92429751910464,4.87735536368736,0.01190082642624
2015-12-27,227.427,373.18,0.77950413091872,3.94314048922752,0.0099173553552
2015-12-28,230.574,373.85,1.22181817976064,4.3735537116432,0.00396694214208
2015-12-29,233.143,374.39,1.31504132009952,3.89355371245152,0.0099173553552
2015-12-30,236.835,375.16,1.0869421469299199,4.78809916549056,0.0099173553552
2015-12-31,239.069,375.62,1.2317355351158399,3.4809917296751998,0.01586776856832
2016-01-01,240.768,375.97,1.26148760118144,2.96727272227584,0.00595041321312
2016-01-02,242.887,376.4,1.11669421299552,3.24495867222144,0.0099173553552
2016-01-03,243.331,376.49,1.44595041078816,1.9001652860563198,0.0099173553552
2016-01-04,244.564,376.74,1.72165288966272,2.95933883799168,0.00396694214208
2016-01-05,248.25,377.48,0.97983470909376,4.66512395908608,0.0
2016-01-06,251.667,378.16,1.64826446003424,5.07173552864928,0.00595041321312
2016-01-07,255.225,378.86,1.24760330368416,4.82578511584032,0.0198347107104
2016-01-08,258.774,379.55,0.78148760198976,4.3438016455776,0.013884297497279999
2016-01-09,262.037,380.18,0.88661156875488,4.15338842275776,0.00396694214208
2016-01-10,265.018,380.75,1.03338842801184,4.02049586099808,0.00595041321312
2016-01-11,267.439,381.21,1.61454545182656,4.05024792706368,0.013884297497279999
2016-01-12,269.825,381.66,1.15438016334528,3.5543801593036797,0.013884297497279999
2016-01-13,272.004,382.07,0.9123966926784,3.09223139975136,0.0
2016-01-14,275.066,382.64,1.11867768406656,4.18115701775232,0.0
2016-01-15,280.592,383.66,0.64264462701696,6.17256197307648,0.00396694214208
2016-01-16,286.797,384.79,0.69024793272192,6.90446279829024,0.0099173553552
2016-01-17,293.993,386.08,1.02347107265664,8.292892548018239,0.07338842962848
2016-01-18,311.439,389.12,1.23371900618688,18.71206608419136,0.03173553713664
2016-01-19,326.903,391.72,0.83702479197888,16.3041322039488,0.00396694214208
2016-01-20,342.548,394.27,0.9699173537385599,16.62347104638624,0.00793388428416
2016-01-21,352.415,395.84,1.55900826183744,11.44859502204288,0.02181818178144
2016-01-22,360.85,397.16,0.61685950309344,9.074380150008,0.02181818178144
2016-01-23,374.855,399.31,0.8905785108969599,14.895867743510399,0.0
2016-01-24,388.656,401.38,1.60462809647136,15.41950410626496,0.013884297497279999
2016-01-25,398.523,402.83,1.5471074354112,11.43272725347456,0.01785123963936
2016-01-26,405.982,403.91,1.7375206582310398,9.21123965390976,0.013884297497279999
2016-01-27,412.065,404.78,2.53685949986016,8.6479338697344,0.027768594994559997
2016-01-28,418.207,405.65,1.49950412970624,7.65223139207232,0.0099173553552
2016-01-29,428.716,407.12,1.48561983220896,11.99404956657888,0.0
2016-01-30,499.707,416.49,1.03933884122496,72.04561971338592,0.01586776856832
2016-01-31,528.563,420.07,1.0710743783616,29.954380114846078,0.027768594994559997
2016-02-01,545.444,422.11,2.04099173210016,18.99371897627904,0.07140495855744
2016-02-02,558.062,423.61,1.91801652569568,14.53487600858112,0.0
2016-02-03,568.613,424.85,1.6978512368102399,12.26578510331136,0.01785123963936
2016-02-04,577.037,425.83,2.0033057817504,10.45487601545184,0.027768594994559997
2016-02-05,584.489,426.69,2.7471074333903998,10.19900824728768,0.0
2016-02-06,591.029,427.44,2.79074379695328,9.365950397450879,0.03570247927872
2016-02-07,595.93,428.0,3.61388429143488,8.544793374040319,0.0297520660656
2016-02-08,600.254,428.49,4.5322313973264,8.89190081147232,0.03570247927872
2016-02-09,605.555,429.09,2.8304132183740798,8.18578511018208,0.05355371891808
2016-02-10,606.8,429.23,6.0892561880928,7.37652891319776,0.041652892491839996
2016-02-11,608.312,429.4,6.13090908058464,7.678016515995839,0.03570247927872
2016-02-12,610.27,429.62,5.50809916427808,7.537190069952,0.07140495855744
2016-02-13,611.871,429.8,5.70842974245312,7.3685950289135995,0.0595041321312
2016-02-14,612.138,429.83,6.50181817086912,6.8528925504432,0.08330578498367999
2016-02-15,613.205,429.95,5.63702478389568,6.73983469939392,0.03570247927872
2016-02-16,615.623,430.22,5.4922313957097595,7.95768593701248,0.04760330570496
2016-02-17,618.581,430.55,6.2380165184208,9.25487601747264,0.0595041321312
2016-02-18,625.327,431.3,5.2462809829007995,12.0099173351472,0.01785123963936
2016-02-19,629.121,431.72,6.53157023693472,10.34975204868672,0.02380165285248
2016-02-20,630.838,431.91,6.5652892451424,8.31272725872864,0.0297520660656
2016-02-21,632.652,432.11,5.7123966845952,7.57487602030176,0.04760330570496
2016-02-22,633.927,432.25,6.6842975094048,8.02512395342784,0.06545454534431999
2016-02-23,627.947,431.59,13.84066113371712,7.90214874702336,0.041652892491839996
2016-02-24,622.616,431.0,13.676033034820799,8.40396692799648,0.0595041321312
2016-02-25,616.34,430.3,13.424132208798719,7.2079338721593595,0.0595041321312
2016-02-26,611.604,429.77,10.813884279310079,6.13090908058464,0.05355371891808
2016-02-27,608.846,429.46,9.114049571428799,6.41057850160128,0.05355371891808
2016-02-28,605.644,429.1,9.106115687144639,5.94644627097792,0.041652892491839996
2016-02-29,605.555,429.09,7.47570246674976,7.45586775603936,0.0694214874864
2016-03-01,605.822,429.12,6.52165288157952,6.85487602151424,0.06545454534431999
2016-03-02,606.177,429.16,5.95834709740416,6.382809906606719,0.0694214874864
2016-03-03,608.49,429.42,5.976198337043519,8.330578498368,0.041652892491839996
2016-03-04,611.159,429.72,6.9619834593503995,9.63173552097024,0.0
2016-03-05,623.429,431.09,7.679999987066879,19.94975203252032,0.0
2016-03-06,666.518,435.79,8.34644626693632,51.435371814209276,0.0
2016-03-07,697.938,439.12,14.20958675293056,45.6297519892752,0.0
2016-03-08,699.565,439.29,23.78380161284064,25.42214871751968,0.01190082642624
2016-03-09,689.09,438.19,28.84760325720576,18.398677654967038,0.02578512392352
2016-03-10,677.658,436.98,29.43867763637568,18.00595038290112,0.0
2016-03-11,670.628,436.23,30.347107386912,23.31768591114624,0.0
2016-03-12,664.191,435.54,35.7818181215616,29.345454496036798,0.0
2016-03-13,673.159,436.5,38.53090902602304,47.51008256462112,0.01190082642624
2016-03-14,698.99,439.23,38.05685944004448,63.89950402462464,0.01190082642624
2016-03-15,696.98,439.02,37.945785060066235,35.936528865102716,0.0
2016-03-16,686.906,437.96,35.157024734184,25.082975164371838,0.0
2016-03-17,675.595,436.76,32.70942143252064,21.471074344008,0.07338842962848
2016-03-18,661.306,435.23,32.02710738408288,17.879008234354558,0.14082644604384
2016-03-19,650.017,434.01,28.16727267983904,16.95272724417888,0.07338842962848
2016-03-20,643.505,433.3,23.375206572206398,16.89322311204768,0.0297520660656
2016-03-21,646.44,433.62,20.4694214531328,23.42280987791136,0.01785123963936
2016-03-22,652.143,434.24,18.86677682773248,24.61090904946432,0.041652892491839996
2016-03-23,656.578,434.72,15.59404956051648,20.09652889177728,0.06743801641536
2016-03-24,660.747,435.17,13.765289233017599,18.00198344075904,0.06743801641536
2016-03-25,666.331,435.77,12.68628097037184,18.35504129140416,0.08528925605472
2016-03-26,672.315,436.41,11.03999998140864,17.024132202736318,0.0
2016-03-27,675.783,436.78,12.02380163264448,15.56429749445088,0.07338842962848
2016-03-28,680.205,437.25,11.74413221162784,16.276363608954238,0.11107437997823999
2016-03-29,684.358,437.69,10.37157023046816,14.60628096713856,0.08132231391264
2016-03-30,686.718,437.94,10.399338825462719,12.8528925403392,0.09322314033888
2016-03-31,691.371,438.43,7.6919008134931195,12.38280989650272,0.03768595034976
2016-04-01,695.268,438.84,7.5074380038864,11.454545435256,0.049586776776
2016-04-02,700.617,439.4,6.84892560830112,12.23603303724576,0.03768595034976
2016-04-03,707.902,440.16,5.972231394901439,13.3090908866784,0.05157024784704
2016-04-04,711.948,440.58,7.8585123834604795,11.956363616229119,0.05157024784704
2016-04-05,718.807,441.29,5.8214875935023995,12.73190080500576,0.05157024784704
2016-04-06,725.013,441.93,7.1801652771648,13.44396691950912,0.057520661060159996
2016-04-07,730.473,442.49,6.7973553604540795,12.33520659079776,0.07735537177056
2016-04-08,736.923,443.15,7.4459504006841595,13.96165286905056,0.06545454534431999
2016-04-09,743.306,443.8,7.090909078968,13.51933882020864,0.04561983463392
2016-04-10,752.188,444.7,6.12495866737152,15.02082642098592,0.013884297497279999
2016-04-11,759.33,445.42,7.2991735414272,14.461487578952639,0.0198347107104
2016-04-12,766.6,446.15,6.48198346015872,13.79702477015424,0.04561983463392
2016-04-13,772.006,446.69,6.543471063360959,11.99404956657888,0.04561983463392
2016-04-14,776.419,447.13,6.66842974083648,11.1272727085344,0.04561983463392
2016-04-15,780.45,447.53,6.96595040149248,11.04198345247968,0.04561983463392
2016-04-16,783.271,447.81,7.140495855744,10.02049585089408,0.0595041321312
2016-04-17,785.592,448.04,7.09884296325216,9.48694213278432,0.06743801641536
2016-04-18,788.736,448.35,7.16231403752544,10.3735537015392,0.06743801641536
2016-04-19,792.995,448.77,6.460165278377279,10.805950395025919,0.08727272712576
2016-04-20,797.574,449.22,6.04165288238784,10.70876031254496,0.08727272712576
2016-04-21,800.636,449.52,7.4181818056896,10.56793386650112,0.08727272712576
2016-04-22,807.281,450.17,6.53950412121888,13.245619812405119,0.06148760320224
2016-04-23,812.108,450.64,6.545454534431999,11.39305783205376,0.0198347107104
2016-04-24,816.425,451.06,6.02578511381952,10.36958675939712,0.027768594994559997
2016-04-25,820.558,451.46,6.43041321231168,10.59768593256672,0.03371900820768
2016-04-26,825.62,451.95,7.30314048356928,12.432396673278719,0.06743801641536
2016-04-27,825.724,451.96,6.8747107322246395,7.07305783932864,0.09520661140992
2016-04-28,825.724,451.96,6.3907437908908795,6.58115701371072,0.19041322281984
2016-04-29,825.62,451.95,7.07305783932864,7.17421486395168,0.20429752031712
2016-04-30,826.449,452.03,7.1226446161046395,8.15603304411648,0.20429752031712
2016-05-01,828.111,452.19,6.347107427328,8.21355370517664,0.20429752031712
2016-05-02,829.878,452.36,7.57487602030176,9.48495866171328,0.14280991711488
2016-05-03,832.788,452.64,6.82710742651968,9.845950396642559,0.1090909089072
2016-05-04,835.594,452.91,7.22181816965664,10.13752064408544,0.1090909089072
2016-05-05,835.49,452.9,8.15603304411648,8.05884296163552,0.00595041321312
2016-05-06,837.052,453.05,9.06842973679488,10.643305767200639,0.013884297497279999
2016-05-07,838.724,453.21,9.47702477742912,11.16892560102624,0.0198347107104
2016-05-08,838.619,453.2,9.8776859337792,9.80628097522176,0.03371900820768
2016-05-09,837.888,453.13,9.52264461206304,8.89983469575648,0.1090909089072
2016-05-10,838.41,453.18,9.48297519064224,10.1553718837248,0.15074380139904
2016-05-11,838.828,453.22,9.63371899204128,10.23074378442432,0.1785123963936
2016-05-12,839.665,453.3,8.87999998504608,9.87570246270816,0.1586776856832
2016-05-13,840.396,453.37,9.12595039785504,10.0561983301728,0.198347107104
2016-05-14,840.187,453.35,9.19735535641248,9.15966940606272,0.17057851210944
2016-05-15,840.814,453.41,9.17950411677312,9.9570247766208,0.15074380139904
2016-05-16,841.755,453.5,9.94314047912352,11.08958675818464,0.20628099138816
2016-05-17,842.8,453.6,9.601983454904639,10.86743799822816,0.22016528888543999
2016-05-18,843.427,453.66,10.46876031294912,11.28793386528864,0.19239669389088
2016-05-19,843.741,453.69,10.21685948692704,10.7504132050368,0.22016528888543999
2016-05-20,844.159,453.73,10.45487601545184,10.90115700643584,0.027768594994559997
2016-05-21,844.054,453.72,10.6413222961296,10.55603304007488,0.0198347107104
2016-05-22,843.323,453.65,11.02016527069824,10.3834710568944,0.09520661140992
2016-05-23,841.755,453.5,10.29818180083968,8.82446279505696,0.09520661140992
2016-05-24,839.037,453.24,11.02214874176928,8.47537188655392,0.17057851210944
2016-05-25,835.698,452.92,10.79801651074176,7.6105784995804795,0.15074380139904
2016-05-26,834.035,452.76,9.69719006631456,8.1917355233952,0.15669421461216
2016-05-27,832.476,452.61,8.50115701047744,7.13256197145984,0.19041322281984
2016-05-28,830.606,452.43,8.7173553572208,7.0452892443340795,0.198347107104
2016-05-29,829.255,452.3,7.95768593701248,6.80528924473824,0.198347107104
2016-05-30,826.034,451.99,9.74677684309056,6.72198345975456,0.19636363603296
2016-05-31,826.034,451.99,7.95768593701248,8.18181816804,0.22413223102752
2016-06-01,824.587,451.85,9.02280990216096,7.83272725953696,0.2578512392352
2016-06-02,822.831,451.68,8.951404943603519,7.40033056605024,0.20429752031712
2016-06-03,821.591,451.56,8.60429750617152,7.6085950285094395,0.24396694173792
2016-06-04,820.248,451.43,8.67570246472896,7.515371888170559,0.18247933853568
2016-06-05,819.318,451.34,8.048925606280319,7.34280990499008,0.22413223102752
2016-06-06,817.561,451.17,9.276694199254079,7.7771900695478395,0.2578512392352
2016-06-07,814.778,450.9,8.5884297376032,6.02181817167744,0.21619834674336
2016-06-08,810.875,450.52,8.82247932398592,5.13520660292256,0.21619834674336
2016-06-09,809.232,450.36,8.34247932479424,6.91636362471648,0.21619834674336
2016-06-10,808.205,450.26,8.81057849755968,7.99933882950432,0.21619834674336
2016-06-11,806.459,450.09,8.93157023289312,7.38049585533984,0.19438016496191998
2016-06-12,803.392,449.79,8.30876031658656,5.43669420572064,0.19438016496191998
2016-06-13,798.288,449.29,8.96925618324288,4.0264462742111995,0.16066115675424
2016-06-14,794.01,448.87,8.5388429608272,4.38743800914048,0.12694214854656
2016-06-15,789.953,448.47,9.05652891036864,5.1669421400591995,0.16661156996735998
2016-06-16,785.997,448.08,8.45355370477248,4.64528924837568,0.14677685925696
2016-06-17,780.954,447.58,8.97322312538496,4.08396693527136,0.15272727247008
2016-06-18,775.714,447.06,8.81454543970176,3.77256197711808,0.198347107104
2016-06-19,770.904,446.58,8.63206610116608,4.0264462742111995,0.20429752031712
2016-06-20,765.899,446.08,8.455537175843519,3.67537189463712,0.22413223102752
2016-06-21,761.12,445.6,8.75900824971264,4.23669420774144,0.25586776816416
2016-06-22,756.545,445.14,8.5685950268928,4.26049586059392,0.2677685945904
2016-06-23,751.2,444.6,8.459504117985599,3.36793387862592,0.25388429709312
2016-06-24,744.583,443.93,9.203305769625599,2.81454544980576,0.2280991731696
2016-06-25,739.673,443.43,8.55669420046656,3.8876032992383998,0.23999999959583998
2016-06-26,735.157,442.97,8.8859503982592,4.6413223062336,0.27173553673247997
2016-06-27,731.059,442.55,8.64595039866336,4.81190081834304,0.26380165244832
2016-06-28,727.058,442.14,8.2016528787504,4.46479338091104,0.26380165244832
2016-06-29,721.231,441.54,8.92760329075104,3.35008263898656,0.24991735495104
2016-06-30,715.224,440.92,9.01090907573472,3.21520660615584,0.21024793353024
2016-07-01,710.118,440.39,9.24099171997536,4.363636356288,0.2280991731696
2016-07-02,704.35,439.79,9.62776857882816,4.09983470383968,0.23999999959583998
2016-07-03,697.938,439.12,9.78446279344032,3.61190082036384,0.23999999959583998
