datetime,FOL_INFLOW_TAF
2000-10-31,54.614875941086396
2000-11-30,115.76132211910752
2000-12-31,128.93752044402623
2001-01-31,90.18247918697568
2001-02-28,118.07206591686912
2001-03-31,178.09190052653952
2001-04-30,172.31603276767103
2001-05-31,160.37553692001023
2001-06-30,62.08462799462304
2001-07-31,58.17322304253216
2001-08-31,58.53818171960352
2001-09-30,47.03404950757152
2001-10-31,15.9966941879376
2001-11-30,42.07735530104256
2001-12-31,168.12099145242144
2002-01-31,239.8909086869328
2002-02-28,212.69950377404544
2002-03-31,303.5147102326829
2002-04-30,272.13421441775904
2002-05-31,245.84330537112382
2002-06-30,131.53190060494654
2002-07-31,76.55008251571776
2002-08-31,79.73355358473695
2002-09-30,75.51669408770591
2002-10-31,58.885289157035515
2002-11-30,95.74016512802976
2002-12-31,203.12528891413535
2003-01-31,242.3662805835907
2003-02-28,179.1966939131088
2003-03-31,226.45289218063678
2003-04-30,348.13090850465665
2003-05-31,493.7652884246976
2003-06-30,245.7719004125664
2003-07-31,119.4247931873184
2003-08-31,95.7322312437456
2003-09-30,93.27471058672704
2003-10-31,51.87966933412224
2003-11-30,75.36595028630688
2003-12-31,169.9537187220624
2004-01-31,189.17950381365313
2004-02-29,275.44661110639584
2004-03-31,311.6350407975206
2004-04-30,197.03603272604255
2004-05-31,162.0257848511155
2004-06-30,90.09123951770783
2004-07-31,85.6165287814416
2004-08-31,94.51438000612704
2004-09-30,93.61388413987488
2004-10-31,78.98776846202591
2004-11-30,76.17917342543328
2004-12-31,171.39371871963743
2005-01-31,286.9249581945043
2005-02-28,238.34181778045055
2005-03-31,454.4251232016902
2005-04-30,409.2694207983936
2005-05-31,695.4148748619792
2005-06-30,430.6948753077677
2005-07-31,157.80297494087137
2005-08-31,117.5008262484096
2005-09-30,85.94181803709216
2005-10-31,72.297520539408
2005-11-30,93.29652876850848
2005-12-31,693.1318996592122
2006-01-31,664.8991724340287
2006-02-28,476.3464454788243
2006-03-31,695.5636351923072
2006-04-30,1170.9163616645405
2006-05-31,819.3937176284054
2006-06-30,352.38545395203744
2006-07-31,163.29718980765216
2006-08-31,138.09520637901792
2006-09-30,87.223140348984
2006-10-31,52.264462721903996
2006-11-30,86.06677671456768
2006-12-31,131.71834688562433
2007-01-31,112.95272708251488
2007-02-28,227.9107434178512
2007-03-31,230.8423136608483
2007-04-30,169.89024764778912
2007-05-31,163.9239666661008
2007-06-30,74.7471073121424
2007-07-31,86.65586762266656
2007-08-31,81.04859490483648
2007-09-30,66.6347106315888
2007-10-31,54.372892470419515
2007-11-30,36.245950352184956
2007-12-31,65.65884286463712
2008-01-31,122.1719006207088
2008-02-29,159.5008261776816
2008-03-31,156.12297494370048
2008-04-30,169.71371872246655
2008-05-31,180.53950382820287
2008-06-30,81.58809903615936
2008-07-31,76.24661144184864
2008-08-31,82.38545440671744
2008-09-30,70.06016517127487
2008-10-31,45.60793380749376
2008-11-30,51.71107429308384
2008-12-31,78.47008251248448
2009-01-31,90.19239654233088
2009-02-28,228.3828095327587
2009-03-31,402.5295860989997
2009-04-30,254.71338800081472
2009-05-31,419.90875962345217
2009-06-30,119.80561963295807
2009-07-31,77.90876019938015
2009-08-31,93.0347105871312
2009-09-30,100.6016527231488
2009-10-31,77.0876031759696
2009-11-30,59.309751966238075
2009-12-31,101.2363634658816
2010-01-31,159.38578485556127
2010-02-28,183.63371869902528
2010-03-31,223.87041284614273
2010-04-30,362.429751455784
2010-05-31,399.4552059388877
2010-06-30,391.55504066293537
2010-07-31,125.35338821865696
2010-08-31,90.34115687265887
2010-09-30,84.90644613800927
2010-10-31,92.04099158054015
2010-11-30,123.56429731257887
2010-12-31,679.4142137318995
2011-01-31,338.84429695004735
2011-02-28,280.78413175856446
2011-03-31,865.9596679632115
2011-04-30,664.905122847242
2011-05-31,556.8714040209062
2011-06-30,631.386445217737
2011-07-31,329.64099118042174
2011-08-31,138.89454522064705
2011-09-30,129.29057829467135
2011-10-31,76.9487602009968
2011-11-30,55.443966848781116
2011-12-31,66.30148749165407
2012-01-31,108.7338841144128
2012-02-29,69.69322302313248
2012-03-31,346.1276027229062
2012-04-30,415.9160323574486
2012-05-31,249.25487561331263
2012-06-30,98.45355355321247
2012-07-31,84.09322299888288
2012-08-31,90.94016513611295
2012-09-30,78.11504119076832
2012-10-31,61.6264461772128
2012-11-30,117.17355352168799
2012-12-31,487.75735455051745
2013-01-31,173.58545425313665
2013-02-28,113.2760328670944
2013-03-31,154.57983445043135
2013-04-30,164.19570220283327
2013-05-31,132.6842972972208
2013-06-30,89.21851224645023
2013-07-31,74.35239656900544
2013-08-31,80.31471060855168
2013-09-30,53.55570238915104
2013-10-31,29.36330573567616
2013-11-30,28.35768590265888
2013-12-31,33.03867763031328
2014-01-31,24.76760326407648
2014-02-28,171.41752037248992
2014-03-31,169.25156996291423
2014-04-30,160.9150410513331
2014-05-31,98.35437999966048
2014-06-30,60.585123864916795
2014-07-31,66.75768583799328
2014-08-31,80.43768581495615
2014-09-30,57.274710647351036
2014-10-31,36.14082638541984
2014-11-30,39.28661150408928
2014-12-31,200.37421453860287
2015-01-31,76.61752053213311
2015-02-28,167.93454517174368
2015-03-31,64.56991724663615
2015-04-30,49.92198338700576
2015-05-31,51.89355363161952
2015-06-30,49.247603222852156
2015-07-31,39.55636356975072
2015-08-31,51.97884288767424
2015-09-30,41.73024786361056
2015-10-31,23.1173553329712
2015-11-30,28.060165242002878
2015-12-31,138.5752063782096
2016-01-31,327.81619779506497
2016-02-29,257.9325615491126
2016-03-31,701.5239657607824
2016-04-30,341.3771895077654
2016-05-31,290.5190077752288
2016-06-30,157.20198320634623
2016-07-31,103.75735519717344
2016-08-31,93.4512395120496
2016-09-30,73.1504130999552
2016-10-31,123.91140475001087
2016-11-30,164.1719005499808
2016-12-31,555.6674370807849
2017-01-31,1376.5249563596178
2017-02-28,1956.247930589976
2017-03-31,696.7061145292262
2017-04-30,858.6089241739372
2017-05-31,854.0707423633977
2017-06-30,460.19504054734557
2017-07-31,187.44198315542207
2017-08-31,143.02214851948128
2017-09-30,115.62842955734784
2017-10-31,63.322313942952
2017-11-30,193.83272694631296
2017-12-31,154.016528666256
2018-01-31,205.83867733931808
2018-02-28,106.31603287881504
2018-03-31,552.7120651849353
2018-04-30,560.9097511215436
2018-05-31,257.62710700417244
2018-06-30,125.67272706109439
2018-07-31,116.75107418355648
2018-08-31,105.10611552548063
2018-09-30,89.75999984884416
2018-10-31,49.05520652896128
2018-11-30,55.16429742776448
2018-12-31,102.56528908347839
2019-01-31,324.13289201614367
2019-02-28,642.6585113144573
2019-03-31,696.3272715546576
2019-04-30,639.568263385777
2019-05-31,579.1973543965324
2019-06-30,510.43834624785984
2019-07-31,188.24727241026432
2019-08-31,153.98876007126142
2019-09-30,128.1183468916867
2019-10-31,69.33818170141632
2019-11-30,68.72132219832288
2019-12-31,168.89652864119807
2020-01-31,110.47735518585695
2020-02-29,75.57421474876608
2020-03-31,141.12793364663807
2020-04-30,316.661156491536
2020-05-31,199.77123933300672
2020-06-30,105.86181800354687
2020-07-31,90.08132216235263
2020-08-31,107.3950411414608
2020-09-30,83.1669420087072
